,Bolivia,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Chuquisaca,Tarija,Beni,Pando
2021-02-02,1589,12,278,647,26,138,122,90,6,270
2021-02-03,3560,361,687,1264,106,203,303,200,48,388
2021-02-04,5172,1030,1044,1393,195,293,304,362,63,488
2021-02-05,7430,1783,1369,1638,300,396,529,711,154,550
2021-02-06,7636,1859,1369,1638,412,396,530,712,170,550
2021-02-07,7752,1859,1369,1638,499,396,530,712,199,550
2021-02-08,8905,1938,1525,1879,700,432,690,783,408,550
2021-02-09,9752,1987,1666,2200,715,463,776,825,570,550
2021-02-10,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-11,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-12,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-13,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-14,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-15,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-16,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-17,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-18,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-19,10167,2006,1674,2218,715,816,776,825,587,550
2021-02-20,10301,2009,1674,2218,715,826,881,825,603,550
2021-02-21,10301,2009,1674,2218,715,826,881,825,603,550
2021-02-22,10301,2009,1674,2218,715,826,881,825,603,550
2021-02-23,10301,2009,1674,2218,715,826,881,825,603,550
2021-02-24,10301,2009,1674,2218,715,826,881,825,603,550
2021-02-25,11979,2043,1674,3629,917,826,881,856,603,550
2021-02-26,11979,2043,1674,3629,917,826,881,856,603,550
2021-02-27,22212,3717,1674,7453,4063,827,1875,1221,649,733
2021-02-28,22212,3717,1674,7453,4063,827,1875,1221,649,733
2021-03-01,22212,3717,1674,7453,4063,827,1875,1221,649,733
2021-03-02,46455,12047,4749,11036,5571,1533,5405,3462,1448,1204
2021-03-03,46455,12047,4749,11036,5571,1533,5405,3462,1448,1204
2021-03-04,46455,12047,4749,11036,5571,1533,5405,3462,1448,1204
2021-03-05,46455,12047,4749,11036,5571,1533,5405,3462,1448,1204
2021-03-06,96397,23147,16364,24235,6149,4995,8577,6516,4861,1553
2021-03-07,97120,23589,16435,24295,6151,5028,8629,6519,4921,1553
2021-03-08,102236,24431,17494,26242,6436,5197,8961,6703,5170,1602
2021-03-09,109210,25568,18542,29448,6611,5603,9272,7044,5448,1674
2021-03-10,117011,27254,20285,31858,6821,6035,9721,7559,5719,1759
2021-03-11,122348,28436,21453,33224,6966,6321,10247,7992,5881,1828
2021-03-12,127199,29585,22558,34211,7109,6596,10676,8482,6016,1966
2021-03-13,127836,29871,22732,34241,7109,6596,10723,8568,6022,1974
2021-03-14,128267,30149,22822,34258,7109,6603,10762,8568,6022,1974
2021-03-15,131814,31210,23429,35021,7221,6796,10913,8964,6172,2088
2021-03-16,136032,32567,24375,35892,7273,6971,11166,9362,6303,2123
2021-03-17,140532,33655,25442,36578,7344,7164,11599,10116,6435,2199
2021-03-18,144816,34558,26126,37537,7450,7416,12086,10738,6592,2313
2021-03-19,150045,35465,28861,38312,7529,7529,12293,11082,6636,2338
2021-03-20,150486,35589,28861,38316,7607,7555,12340,11214,6666,2338
2021-03-21,150818,35628,28861,38316,7668,7572,12350,11387,6698,2338
2021-03-22,153795,36625,29457,39000,7803,7693,12504,11566,6772,2375
2021-03-23,156257,37388,29457,39757,7938,7851,12742,11826,6879,2419
2021-03-24,161199,38185,31956,40458,8096,8068,12959,11968,6998,2511
2021-03-25,166737,39037,34754,41403,8386,8272,13093,12035,7097,2660
2021-03-26,173264,39887,38143,42645,8537,8564,13278,12134,7290,2786
2021-03-27,174799,40116,38515,42669,8555,8622,13293,12187,8056,2786
2021-03-28,175169,40217,38603,42813,8555,8632,13293,12187,8059,2810
2021-03-29,180484,41146,40727,43887,8648,8826,13375,12209,8811,2855
2021-03-30,186961,42561,43424,45214,8779,9051,13422,12320,9302,2888
2021-03-31,194880,43781,45948,47560,9067,9419,13422,12394,10023,3266
2021-04-01,203103,45103,48106,49555,9224,9855,13612,12493,11148,4007
2021-04-02,204097,45294,48220,49938,9228,9897,13615,12496,11215,4194
2021-04-03,205115,45347,48295,50158,9263,9920,13615,12503,11595,4419
2021-04-04,206003,45476,48453,50592,9271,9951,13655,12503,11616,4486
2021-04-05,215926,46880,52450,52487,9708,10467,13773,12559,12725,4877
2021-04-06,229556,48345,57183,55735,10420,11636,13971,12775,14000,5491
2021-04-07,245763,50337,61359,59476,12193,13265,14601,13354,15185,5993
2021-04-08,263732,52756,64915,62404,14343,16173,15469,14569,16452,6651
2021-04-09,282801,55850,67801,65778,16725,18667,16923,15984,17728,7345
2021-04-10,287004,56865,68510,66235,17530,19084,17143,16293,17861,7483
2021-04-11,289353,57290,68893,66714,18112,19162,17345,16367,17907,7563
2021-04-12,302991,60740,71100,70452,18791,19877,18156,17125,18817,7933
2021-04-13,317701,64717,73243,73921,19732,20729,18875,18069,19892,8523
2021-04-14,333137,68589,75297,77537,20576,21543,19905,18853,20875,9962
2021-04-15,348595,72698,77227,81014,21395,22290,21626,19082,21882,11381
2021-04-16,365333,77338,78766,86029,22257,23047,22831,19466,22910,12689
2021-04-17,370483,78373,79009,86371,23410,23201,24294,19569,23029,13227
2021-04-18,373139,78773,79226,86799,24196,23343,24701,19583,23086,13432
2021-04-19,385889,82619,80272,90180,24628,23795,25488,20069,24126,14712
2021-04-20,400087,87229,81786,93117,24948,24329,26531,20819,25571,15757
2021-04-21,413643,91518,83122,96503,25009,24846,27463,21576,26781,16825
2021-04-22,431138,96144,85512,100428,26709,25308,28010,22947,28058,18022
2021-04-23,456643,101417,88322,104522,30613,26456,31665,24251,29929,19468
2021-04-24,465823,102595,88621,105194,33413,26896,34027,24408,30090,20579
2021-04-25,469586,103457,88796,105389,35005,27413,34200,24432,30127,20767
2021-04-26,490495,107322,91597,109633,35715,28685,37085,25969,32253,22236
2021-04-27,516958,115600,94317,113903,36073,29570,40758,28040,34455,24242
2021-04-28,547471,125140,98608,120726,36222,30304,43774,29933,36460,26304
2021-04-29,576819,134074,103509,128491,36331,31256,46138,31645,38117,27258
2021-04-30,610534,144447,109207,137510,36382,32580,48024,33519,40364,28501
2021-05-01,614600,145590,109593,137880,36404,33007,48900,33897,40565,28764
